title,entropy,npvi,rests
chor262,5.14011,12.549,0
chor263,4.89549,37.8685,0
chor264,5.09723,30.8889,0
chor265,5.46733,18.7997,0
chor266,5.03286,11.9497,0
chor267,5.19001,13.8967,0
chor268,5.1706,26.8336,0
chor269,5.18131,28.8557,0
chor270,4.46963,28.3688,1
chor271,5.13065,25.908,2
chor272,4.36406,12.2917,0
chor273,4.93474,18.5792,0
chor274,5.13091,32.9329,0
chor275,4.40526,22.695,0
chor276,4.86396,24.8227,0
chor277,5.27224,23.8994,0
chor278,5.0381,20.6897,0
chor279,5.10539,19.0909,0
chor280,5.22426,26.3588,1
chor281,5.33081,14.8148,0
chor282,4.39509,17.415,0
chor283,5.01429,28.5088,8
chor284,5.35908,26.455,0
chor285,5.11248,19.0476,0
chor286,4.71264,29.1887,0
chor287,4.91683,36.6667,0
chor288,4.52648,35.8225,0
chor289,4.8732,22.2222,1
chor290,4.96814,23.1515,0
chor291,5.15568,33.1148,0
chor292,4.88258,10.4575,0
chor293,4.53638,22.439,0
chor294,4.87864,21.6049,0
chor295,4.57374,14.8148,0
chor296,5.33876,27.8788,0
chor297,5.06825,22.7556,0
chor298,5.33804,36.5517,0
chor299,5.1393,18.2456,0
chor300,4.81217,20.671,0
chor301,5.13607,16.3743,0
chor302,4.55025,38.1818,0
chor303,4.95654,31.2892,0
chor304,5.0654,28.4967,0
chor305,4.81994,21.6393,0
chor306,5.55919,27.7903,0
chor307,5.39928,38.7805,0
chor308,4.81115,17.7778,0
chor309,4.78416,21.1382,0
chor310,4.50758,14.8148,0
chor311,5.30444,27.26,0
chor312,5.49221,26.3066,5
chor313,5.06464,21.4286,0
chor314,5.12853,14.9425,0
chor315,5.20919,41.3714,0
chor316,5.14294,43.1702,5
chor317,5.09188,20.7692,0
chor318,5.16884,45.6424,5
chor319,4.98096,23.5601,2
chor320,4.68597,25.679,0
chor321,4.82326,6.66667,0
chor322,5.3568,12.5714,0
chor323,5.34529,16.1111,1
chor324,5.26426,38.0247,0
chor325,4.92472,27.2619,0
chor326,4.89926,24.2424,0
chor327,5.29209,18.3333,0
chor328,5.0328,42.8424,0
chor329,5.11423,21.2222,0
chor330,5.07442,31.3156,0
chor331,5.51585,16.6667,0
chor332,5.23335,21.396,0
chor333,5.14035,24.8246,1
chor334,4.73791,17.8862,0
chor335,4.53154,30.7692,0
chor336,5.02921,18.6667,0
chor337,5.07923,19.2982,0
chor338,4.58428,28.4848,0
chor339,4.48485,25.3968,0
chor340,5.5193,26.6667,0
chor341,4.79685,18.2222,0
chor342,4.97398,27.153,0
chor343,5.15587,36.2844,0
chor344,4.72843,16.6667,0
chor345,4.99456,33.6277,0
chor346,5.02225,34.3662,0
chor347,4.71407,19.1837,0
chor348,4.99563,25.0505,0
chor349,4.9155,19.3548,0
chor350,4.8208,20.5128,0
chor351,5.33303,27.2748,0
chor352,5.14879,35.2857,1
chor353,5.03678,21.4286,0
chor354,5.15948,19.359,0
chor355,5.03678,25.485,0
chor356,4.97135,42.735,0
chor357,4.88578,35.2874,0
chor358,5.12013,28.7719,0
chor359,5.67661,35.1548,5
chor360,5.36778,25.2941,0
chor361,5.01649,13.7566,0
chor362,4.61921,41.3333,0
chor363,4.80978,23.0769,0
chor364,5.05063,34.5685,0
chor365,4.98954,24.3275,0
chor366,4.78571,21.8443,1
chor367,4.9926,22.1923,0
chor368,5.2399,40.8163,0
chor369,5.0673,23.8384,0
chor370,5.07795,18.1221,0
chor371,5.37137,25.9307,1
